realprice,neighbourhood,actualyearbuilt,zoning,lotsize,garagebinary,distance,structuresize,distancelrtopen,distancelrtvalleylinese,distancelrtvalleylinewest,apartment,theftcrime,personcrime
317647.06,CARLTON,2001,RF1,612.07001,1,8.920142276343825,213.8,6.441765972533302,9.015606665052244,7.799488746122826,0,0.0050307433,0.0016769145
236332.19,CARLTON,2012,RF4,279.95001,1,9.971862439975668,169.2,7.486912514347664,10.09205090166142,8.982204136139966,0,0.0050307433,0.0016769145
371280.28,CARLTON,2013,RSL,371.62701,1,9.6791895026065,298.8,7.194552493295671,9.7938506348558,8.661460457478862,0,0.0050307433,0.0016769145
418339.09,CARLTON,2002,RF1,1009.506,1,9.060875733366483,261.6,6.583730594759063,9.15378981017924,7.915465075701775,0,0.0050307433,0.0016769145
390311.41,CARLTON,2013,RSL,649.33801,1,9.888797734986442,308.3,7.40536741877962,9.99642309478362,8.812153588904202,0,0.0050307433,0.0016769145
139792.39,CARLTON,2009,RA7,103.3132,0,9.169365867258168,90.2,6.710540917325782,9.238429470612251,7.853165101777449,1,0.0050307433,0.0016769145
157093.42,CARLTON,2008,RA7,153.645,0,9.169365867258168,119.8,6.710540917325782,9.238429470612251,7.853165101777449,1,0.0050307433,0.0016769145
335640.13,CARLTON,2013,RSL,451.14999,1,9.768393468570808,256.0,7.288224883410836,9.866440402674534,8.628584236881416,0,0.0050307433,0.0016769145
236332.19,CARLTON,2014,RF4,247.461,1,10.0242688374369,167.8,7.544412236937323,10.12127110587387,8.86718077323197,0,0.0050307433,0.0016769145
257439.45,CARLTON,2003,RSL,536.13599,1,9.414161504594594,147.7,6.944407576220534,9.495220111120508,8.17008998388169,0,0.0050307433,0.0016769145
250519.03,CARLTON,2005,RPL,827.41101,0,9.635938650785285,102.6,7.161071332296378,9.724051285140844,8.431754141978617,0,0.0050307433,0.0016769145
211418.69,CARLTON,2002,RF4,299.62799,1,8.9584584632553,143.4,6.485723971906125,9.044451407591914,7.769228004881176,0,0.0050307433,0.0016769145
231141.88,CARLTON,2002,RPL,310.10199,0,9.430707197646232,135.2,6.96324745039869,9.508818932527625,8.16554425875136,0,0.0050307433,0.0016769145
210726.64,CARLTON,2003,RF4,339.53101,1,9.266597074127382,145.5,6.804103619047138,9.339293382106666,7.971093646239198,0,0.0050307433,0.0016769145
138754.33,CARLTON,2016,RA7,69.500999,0,9.283340463202356,72.0,6.814096403381135,9.363968113578196,8.041893964723497,1,0.0050307433,0.0016769145
249480.97,CARLTON,2001,RPL,457.83499,1,9.03039041441898,191.47,6.558372925965472,9.115224308709774,7.829655718190216,0,0.0050307433,0.0016769145
344982.69,CARLTON,2014,RSL,353.19699,1,9.8690677738977,277.2,7.388925455295919,9.966923846343605,8.723938649718075,0,0.0050307433,0.0016769145
253287.2,CARLTON,2007,RF5,449.35199,1,9.165706745245847,130.6,6.694610458271533,9.249011542447215,7.948091446283387,1,0.0050307433,0.0016769145
284429.06,CARLTON,2012,RSL,363.897,1,10.0576613594222,200.2,7.574911322678803,10.16254881328934,8.955022147358516,0,0.0050307433,0.0016769145
334948.09,CARLTON,2001,RF1,556.19897,1,8.818278724003136,230.5,6.339799208481835,8.914116104322185,7.70529749644965,0,0.0050307433,0.0016769145
292041.53,CARLTON,2012,RSL,374.323,1,10.03239228248123,206.1,7.548507095953161,10.14190952843886,8.963675321612216,0,0.0050307433,0.0016769145
186851.22,CARLTON,2013,RF5,296.89999,1,10.29929187152813,134.5,7.816753861262803,10.40320353630359,9.180845371459991,1,0.0050307433,0.0016769145
302768.16,CARLTON,2014,RSL,598.59698,1,10.10560647439914,169.9,7.624035460279587,10.20680678944062,8.975060283881705,0,0.0050307433,0.0016769145
323183.41,CARLTON,2005,RF1,621.39398,1,9.308214848913636,261.36,6.82744282101859,9.408332918236011,8.202480910063962,0,0.0050307433,0.0016769145
310380.63,CARLTON,2013,RSL,414.18701,1,9.685402332734377,219.4,7.202350736031241,9.791783754404827,8.608076324663894,0,0.0050307433,0.0016769145
189619.38,CARLTON,2003,RF4,322.28,1,9.263727194396132,89.7,6.799631877794002,9.338199345211915,7.980570088494109,0,0.0050307433,0.0016769145
176816.61,CARLTON,2010,RA7,177.4868,0,9.169365867258168,122.2,6.710540917325782,9.238429470612251,7.853165101777449,1,0.0050307433,0.0016769145
283737.03,CARLTON,2003,RSL,486.75101,1,9.4368882868722,192.1,6.964530804671795,9.52149304440858,8.216494633166679,0,0.0050307433,0.0016769145
143252.59,CARLTON,2016,RA7,69.500999,0,9.283340463202356,72.0,6.814096403381135,9.363968113578196,8.041893964723497,1,0.0050307433,0.0016769145
331833.91,CARLTON,2001,RF1,613.51801,1,8.920070814893077,224.3,6.442744607470308,9.013549590469736,7.785368709850919,0,0.0050307433,0.0016769145
140830.45,CARLTON,2009,RA7,100.6642,0,9.169365867258168,87.5,6.710540917325782,9.238429470612251,7.853165101777449,1,0.0050307433,0.0016769145
324567.47,CARLTON,2008,RF1,440.26401,1,9.526763535491822,215.7,7.044503166334103,9.630679854713518,8.438512941240674,0,0.0050307433,0.0016769145
